title,author,description,criteria,amount,location,supported_country,deadline,study,inclusion,number_of_awards,link
Nawic Founders Scholarship Foundation,National Association of Women in Construction,"Awards to students in 1st, 2nd or 3rd year of construction-related degree program.",U.S. and Canadian Universities. Minimum 3.0 cumulative GPA,"$500 - $2,000 USD",Canada and United States,Canada and United States,March 15,Canada and United States,"Tuition, fees and living expenses",20 - 50,https://www.internationalscholarships.com/scholarships/877/
Northwestern University Graduate Studies Fellowship,Northwestern University,Fellowships are awarded based on merit and financial need to students enrolled in the Graduate Studies Program at Northwestern University School of Law.,,"$7,000 USD",United States,Unrestricted,February 1,United States,Tuition,Variable,https://www.internationalscholarships.com/scholarships/364/
Pollard Scholarship,American Society of Travel Agents,To promote professionalism in travel/tourism.,Must be re-entering the job market by being enrolled in a travel and tourism curriculum in either a recognized proprietary travel school or a two-year junior college.,"$2,000 USD",United States,United States,July 31; December 18,United States,Grant,2,https://www.internationalscholarships.com/scholarships/880/
Nyenrode Business Universiteit Entrepreneurial Manager Scholarship,Nyenrode Business Universiteit,"Open to students from any nationality. Besides the scholarship, a coach will be assigned to the recipient of the scholarship during his/her study.",Candidates wishing to be considered for the scholarship are required to write an essay.,Full-Tuition,Netherlands,Unrestricted,August 31,Netherlands,Deduction of tuition fee,1,https://www.internationalscholarships.com/scholarships/1387/
Graduate Research Assistantships In The Study Of Disability,Institute on Disability and Human Development,To support graduates in the UIC doctoral programs who have expressed a career interest in research on disability.,,Variable,United States,Unrestricted,Unrestricted,United States,"Tuition, stipend.",Variable,https://www.internationalscholarships.com/scholarships/363/
Postdoctoral Research In The Study Of Disability,Institute on Disability and Human Development,For research on selected topics in disability,,"$8,000-$9,000 USD for 9 months",United States,Unrestricted,Rolling,United States,"Tuition, stipend",14,https://www.internationalscholarships.com/scholarships/362/
Newberry Library Short-term Residential Fellowship,Newberry Library,To help provide access to the Newberrys collections.,,$800 USD per month,United States,Unrestricted,March 1,United States,Stipend,Variable,https://www.internationalscholarships.com/scholarships/359/
New York City Urban Fellows,New York City Department of Personnel,To introduce graduates interested in pursuing a career in government or public service to New York City local government.,,"$25,000 USD  plus health insurance",United States,Unrestricted,Variable,United States,"Health insurance, stipend",25,https://www.internationalscholarships.com/scholarships/610/
Nitobe Fellowships For Japanese Social Scientists,International House of Japan,"To develop a new generation of Japanese social scientists able to communicate effectively with non-Japanese, and contribute to international activities concerned with solving contemporary problems and the development of social sciences in Japan and abroad",,"$53,000 USD",United States,Japan,July 31,United States,"Travel, living expenses, dependents expenses, housing, health insurance",3,https://www.internationalscholarships.com/scholarships/98/
New York City Government Scholars Program,New York City Department of Personnel,To provide college students who are interested in pursuing a  career in government or public service with an opportunity to learn about New York City government.,,"$3,500 USD",United States,Unrestricted,January 4,United States,Stipend,25,https://www.internationalscholarships.com/scholarships/609/
Grants for Research on The United States,German Marshall Fund of the United States,"To improve knowledge of the US and of issues affecting the relations between the US and Europe, especially Germany.",,Variable,United States,Germany,January 31,United States,"Travel, research expenses.",Variable,https://www.internationalscholarships.com/scholarships/91/
Postdoctoral Fellowship,"J Paul Getty, Getty Grant Program",For scholars in early stages of their careers to pursue interpretive research projects related to art and its history,,"$30,000 USD",United States,Unrestricted,November 1,United States,Stipend,15,https://www.internationalscholarships.com/scholarships/352/
IARC/WHO Postdoctoral Fellowships For Training In Cancer Research,International Agency for Research on Cancer (IARC/WHO),For postdoctoral junior scientists who are actively engaged in research in medical or allied sciences and want to pursue a career in cancer research.,"For training in areas of cancer research related to the Agency's program, namely epidemiology (including genetic and molecular), bio-statistics, bioinformatics, and areas related to mechanisms of carcinogenesis including molecular and cell biology, molecular genetics, epigenetics, and molecular pathology. There is an emphasis on interdisciplinary projects.","31,860 Euros",France,Unrestricted,November 30,France,Stipend,8,https://www.internationalscholarships.com/scholarships/85/
